id,avg_friends_listed_count,avg_friends_default_profile,avg_friends_geo_enabled,avg_friends_profile_background_tile,friend_Bot_rate,avg_friends_sn_length,avg_friends_desc_length,avg_friends_name_length,ff_ratio,avg_ext_diversity,avg_retweet_count,avg_reply_count,avg_favorite_count,avg_num_hashtags,avg_num_urls,avg_num_mentions,avg_in_apply,statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,geo_enabled,profile_background_tile,Bot,sn_length,desc_length,name_length
3610511,174.579,0.0,0.737,0.316,0.0,9.632,106.579,15.158,5471.000419287212,0.988,8.674,0.055,0.02,0.044000000000000004,0.92,0.47200000000000003,0.062,20370,5470,2385,145,52,0.0,0.0,0.0,0,6,151,16
6067292,233.0,0.0,0.75,0.25,0.0,8.5,122.75,16.75,507.002624671916,0.9690000000000001,18.023,0.247,0.09,0.045,0.18600000000000003,0.506,0.34600000000000003,40586,640,622,1118,32,0.0,1.0,0.0,0,8,37,8
8291932,112.682,0.045,0.636,0.455,0.0,10.0,99.773,12.636,265.01149425287355,0.987,5.178999999999999,0.11900000000000001,0.034,0.131,0.391,0.204,0.095,26713,1390,1177,914,68,0.0,1.0,0.0,0,7,17,7
9939012,246.455,0.0,0.818,0.455,0.0,10.0,103.09100000000001,14.273,641.0016077170418,0.983,15.177,0.045,0.027999999999999997,0.146,0.996,0.757,0.10300000000000001,9437,689,891,199,37,0.0,1.0,0.0,0,10,154,9
14709812,203.8,0.1,0.6,0.3,0.0,8.7,122.7,14.2,63.015625,0.983,387.585,0.214,0.026000000000000002,0.24100000000000002,0.43799999999999994,1.043,0.252,5876,616,647,1061,29,0.0,1.0,0.0,0,7,144,7
14865840,207.875,0.125,1.0,0.5,0.0,11.25,111.75,14.75,139.00558659217876,0.983,2.862,0.107,0.023,0.111,0.49700000000000005,0.298,0.105,7534,1132,1096,6,52,0.0,1.0,0.0,0,12,81,13
16591972,332.167,0.0,0.833,0.5,0.0,9.333,88.0,15.0,129.00595238095238,0.9790000000000001,18.680999999999997,0.036000000000000004,0.001,0.125,0.444,0.81,0.047,2784,256,873,284,2,0.0,0.0,0.0,0,11,51,11
28342883,174.0,0.11800000000000001,0.647,0.294,0.0,10.294,109.0,14.412,1063.0005649717514,0.977,16.351,0.142,0.019,0.275,0.33899999999999997,0.763,0.235,4240,1012,1449,578,25,0.0,1.0,0.0,0,9,82,17
56326516,47.013000000000005,0.182,0.5579999999999999,0.35100000000000003,0.0,10.442,92.29899999999999,13.26,23369.001043841337,0.978,24.008000000000003,0.0,0.06,0.40700000000000003,0.344,1.675,0.11800000000000001,16195,5027,5530,6698,73,1.0,1.0,0.0,0,12,161,15
279147035,174.0,0.111,0.556,0.222,0.0,9.777999999999999,102.111,15.333,761.001404494382,0.985,2.11,0.0,0.026000000000000002,0.11,0.508,0.6409999999999999,0.332,556,237,358,38,3,0.0,0.0,0.0,0,15,54,17
586003,29.203000000000003,0.469,0.391,0.188,0.0,10.187999999999999,71.281,15.015999999999998,478.0045871559633,0.988,52.208,0.146,0.062,0.354,0.446,1.2229999999999999,0.24600000000000002,216,97,234,2,0,0.0,1.0,0.0,0,10,72,16
769985,111.95,0.25,0.55,0.15,0.0,10.5,86.0,14.3,1391.000849617672,0.985,1.1159999999999999,0.011000000000000001,0.027999999999999997,0.172,0.205,0.415,0.048,1897,1100,975,68,39,0.0,1.0,0.0,0,8,123,18
2007021,209.25,0.16699999999999998,0.75,0.25,0.0,8.833,94.75,14.583,315.00295857988164,0.981,8.787,0.027000000000000003,0.004,0.134,0.155,0.691,0.29100000000000004,3052,2254,2196,318,98,0.0,0.0,1.0,0,13,101,14
6082972,54.928999999999995,0.0,0.5,0.5710000000000001,0.0,11.142999999999999,111.071,10.357000000000001,98.00492610837438,0.973,1.411,0.011000000000000001,0.009000000000000001,0.225,0.251,0.499,0.195,3387,1335,727,73,17,0.0,1.0,1.0,0,8,135,12
12179872,79.39,0.22,0.585,0.195,0.0,10.122,87.585,14.024000000000001,290.00051813471504,0.985,3.65,0.065,0.042,0.10300000000000001,0.524,0.887,0.40299999999999997,19122,4560,4307,510,230,0.0,1.0,0.0,0,10,152,14
14443340,230.778,0.111,0.778,0.33299999999999996,0.0,10.111,102.22200000000001,13.889000000000001,94.01282051282051,0.9840000000000001,2.573,0.09,0.031,0.105,0.609,0.8540000000000001,0.36,20366,1476,1069,237,94,0.0,0.0,0.0,0,14,49,14
22598920,21.961,0.158,0.542,0.32,0.0,10.443,97.64,13.064,2243.0010893246185,0.988,3.072,0.174,0.124,0.091,0.428,1.5319999999999998,0.465,11933,26237,23813,614,716,0.0,1.0,0.0,0,6,78,20
24176877,176.933,0.067,0.733,0.33299999999999996,0.0,11.467,96.53299999999999,15.667,690.0011223344557,0.9790000000000001,1.053,0.017,0.063,0.068,0.7340000000000001,0.5529999999999999,0.08800000000000001,4551,1538,1059,67,45,0.0,0.0,0.0,0,14,134,16
74861616,240.2,0.0,0.6,0.2,0.0,10.2,73.6,14.0,506.0017513134851,0.982,57.358000000000004,0.053,0.008,0.102,0.47200000000000003,1.012,0.102,316,127,373,1,2,0.0,1.0,0.0,0,9,153,14
82118682,62.833,0.5,0.389,0.278,0.0,10.056000000000001,60.888999999999996,16.0,82.00552486187846,0.991,32.705,0.049,0.016,0.115,0.39299999999999996,0.361,0.131,88,19,39,9,0,0.0,0.0,1.0,0,11,3,15
93378883,66.875,0.054000000000000006,0.625,0.375,0.0,10.714,98.39299999999999,13.179,129.00269541778977,0.985,1.7169999999999999,0.318,0.145,0.046,0.18,1.057,0.7140000000000001,62908,4229,3388,438,170,0.0,0.0,0.0,0,12,135,17
112419862,318.42900000000003,0.0,1.0,0.28600000000000003,0.0,9.714,84.571,14.571,900.0032786885246,0.991,1.411,0.005,0.001,0.099,0.462,0.387,0.102,2131,464,718,40,11,0.0,1.0,0.0,0,9,33,8
167823878,199.5,0.0,1.0,1.0,0.0,8.0,109.5,15.0,376.0009624639076,0.9690000000000001,3.9619999999999997,0.024,0.006999999999999999,0.282,0.225,0.701,0.42200000000000004,1772,285,257,2,13,1.0,0.0,0.0,0,8,159,15
204808236,229.571,0.14300000000000002,0.857,0.14300000000000002,0.0,10.714,120.85700000000001,15.286,47.00684931506849,0.985,13.494000000000002,0.068,0.026000000000000002,0.289,0.46399999999999997,0.685,0.183,407,244,449,1,3,0.0,0.0,0.0,0,15,10,16
429414906,173.667,0.083,0.833,0.25,0.0,11.5,110.167,14.75,58.00909090909091,0.981,1.51,0.001,0.003,0.14300000000000002,0.623,0.508,0.139,1770,514,1176,24,7,0.0,1.0,0.0,0,12,142,13
13260592,167.4,0.4,1.0,0.2,0.0,11.6,92.4,14.2,617.001545595054,0.983,21.480999999999998,0.102,0.043,0.35100000000000003,0.423,1.265,0.205,6996,899,305,346,28,0.0,1.0,0.0,0,4,69,14
14057516,125.714,0.429,0.14300000000000002,0.14300000000000002,0.0,10.429,83.85700000000001,14.142999999999999,1133.0009124087592,0.973,37.349000000000004,0.114,0.02,0.26899999999999996,0.19399999999999998,0.816,0.19699999999999998,3284,375,1039,1,8,0.0,0.0,1.0,0,15,95,15
18800245,168.857,0.14300000000000002,0.5710000000000001,0.28600000000000003,0.0,10.857000000000001,109.286,14.571,255.0036231884058,0.975,0.0,0.046,0.01,0.16699999999999998,0.504,0.727,0.07200000000000001,1122,300,951,8,6,0.0,1.0,0.0,0,7,32,8
22203964,54.867,0.2,0.5329999999999999,0.2,0.0,9.933,66.667,10.533,299.00238663484487,0.978,324.906,0.674,0.41100000000000003,0.22699999999999998,0.214,0.91,0.47200000000000003,8384,2526,299,1178,41,0.0,1.0,1.0,0,13,149,14
35737313,715.0,0.0,1.0,0.0,0.0,15.0,68.0,16.0,6353.00025819778,0.9840000000000001,18.912,0.098,0.037000000000000005,0.27,0.344,0.991,0.353,482,26,73,5,0,0.0,0.0,0.0,0,5,131,13
36381609,715.0,0.0,1.0,0.0,0.0,15.0,68.0,16.0,2066.0008888888888,0.978,9.549,0.081,0.017,0.064,0.38299999999999995,0.667,0.14800000000000002,1805,258,191,4,14,0.0,1.0,0.0,0,10,122,16
38223194,270.0,0.0,0.33299999999999996,0.0,0.0,13.0,58.667,15.333,86.00295857988165,0.976,103.79,0.221,0.015,0.625,0.075,0.9490000000000001,0.419,1361,149,463,289,2,0.0,0.0,1.0,0,14,33,15
49319803,181.5,0.25,0.75,0.5,0.0,12.0,100.25,14.75,624.0030959752322,0.9690000000000001,30.428,0.0,0.019,0.406,0.282,0.816,0.069,5237,245,241,115,4,1.0,0.0,0.0,0,9,158,24
51150318,321.57099999999997,0.5710000000000001,0.5710000000000001,0.0,0.0,9.429,89.286,14.286,1266.003095975232,0.9790000000000001,21.71,0.0,0.015,0.23399999999999999,0.491,1.338,0.048,1652,412,1974,4,3,0.0,1.0,0.0,0,8,33,13
